ArraySize,Processes,ExecutionTime
10000,2,0.000855
10000,4,0.000344
10000,8,0.000396
50000,2,0.00453
50000,4,0.003974
50000,8,0.003713
100000,2,0.006747
100000,4,0.006474
100000,8,0.006352
500000,2,0.02868
500000,4,0.017631
500000,8,0.017015
1000000,2,0.058345
1000000,4,0.033862
1000000,8,0.031786
5000000,2,0.307021
5000000,4,0.181443
5000000,8,0.138853
10000000,2,0.645962
10000000,4,0.357485
10000000,8,0.264722
