GridSize,Processes,ExecutionTime
10,2,0.000856
10,4,0.00121
10,6,0.001681
100,2,0.020219
100,4,0.012219
100,6,0.016241
1000,2,3.96303
1000,4,2.07074
1000,6,2.00402
2000,2,16.376
2000,4,8.51974
2000,6,7.83036
3000,2,36.6856
3000,4,19.037
3000,6,16.9284
